text,date,txt_len,isEnglish,isShibDoge
yet until because keep on from to then to,2021-01-07 00:05:00,20,True,True
from the,2021-01-07 00:05:00,3,True,True
will make me,2021-01-07 00:05:00,6,True,True
its for and,2021-01-07 00:05:00,9,True,True
i but been about because the is so so what is the behind,2021-01-07 00:05:00,28,True,True
on few too,2021-01-07 00:05:00,9,True,True
its a that and than but also that the are,2021-01-07 00:05:00,21,True,True
but i that those have a of and done your but still to how do i that is,2021-01-07 00:05:00,40,True,True
you are also into i the first for,2021-01-07 00:05:00,15,True,True
is on on and on,2021-01-07 00:05:00,17,True,True
my is on,2021-01-07 00:05:00,9,True,True
where did everyone about that never of until in here,2021-01-07 00:05:00,16,True,True
to anyone about the of and what we should to,2021-01-07 00:05:00,23,True,True
,2021-01-07 00:05:00,3,True,True
i will go for a here to,2021-01-07 00:05:00,14,True,True
i should her about that what is the,2021-01-07 00:05:00,14,True,True
is the for,2021-01-07 00:05:00,6,True,True
can you please,2021-01-07 00:05:00,5,True,True
so i to the and they keep about so is a or,2021-01-07 00:05:00,23,True,True
do you anything about a,2021-01-07 00:05:00,9,True,True
i was about a,2021-01-07 00:05:00,7,True,True
what do you which will,2021-01-07 00:05:00,11,True,True
on or you about,2021-01-07 00:05:00,8,True,True
what about,2021-01-07 00:05:00,3,True,True
in the and to a of in also of,2021-01-07 00:05:00,36,True,True
has,2021-01-07 00:05:00,6,True,True
in,2021-01-07 00:05:00,8,True,True
a of so as you is a and i how a this all of a,2021-01-07 00:05:00,29,True,True
what is or,2021-01-07 00:05:00,6,True,True
should we as may,2021-01-07 00:05:00,9,True,True
the through the what a,2021-01-08 00:05:00,10,True,True
will or in a,2021-01-08 00:05:00,7,True,True
i am to to it me the is but i to i am another to on the top of of in the why is,2021-01-08 00:05:00,43,True,True
what about,2021-01-08 00:05:00,4,True,True
why is more than of when i to my to another,2021-01-08 00:05:00,22,True,True
is,2021-01-08 00:05:00,6,True,True
will through our the,2021-01-08 00:05:00,10,True,True
my has a amount on than the i the and some how can i them i to see a amount on the how can i do,2021-01-08 00:05:00,44,True,True
what about this,2021-01-08 00:05:00,7,True,True
what will all be in this,2021-01-08 00:05:00,11,True,True
can someone in the in if i have in the and via the and also them to do i and will be or must the and all in the,2021-01-08 00:05:00,55,True,True
me too many of them me to in,2021-01-08 00:05:00,13,True,True
you to or of in one you can to the after that,2021-01-08 00:05:00,23,True,True
should i,2021-01-08 00:05:00,4,True,True
i to can i for in,2021-01-08 00:05:00,13,True,True
no you however you can to in,2021-01-08 00:05:00,13,True,True
i have i what will i do using,2021-01-08 00:05:00,14,True,True
the in and then with,2021-01-08 00:05:00,11,True,True
what do i have to do to the do i have to any or just,2021-01-08 00:05:00,24,True,True
where has of,2021-01-08 00:05:00,6,True,True
some get the to,2021-01-08 00:05:00,15,True,True
how to on,2021-01-08 00:05:00,6,True,True
i on in when but does not to,2021-01-08 00:05:00,27,True,True
can i on,2021-01-08 00:05:00,7,True,True
i am the same i cannot see a to,2021-01-08 00:05:00,12,True,True
,2021-01-08 00:05:00,6,True,True
now on,2021-01-08 00:05:00,6,True,True
i are in,2021-01-08 00:05:00,8,True,True
now for me too,2021-01-08 00:05:00,7,True,True
how did you make is only to in some,2021-01-08 00:05:00,14,True,True
why,2021-01-08 00:05:00,4,True,True
in,2021-01-08 00:05:00,5,True,True
is the to in the,2021-01-08 00:05:00,10,True,True
which should except,2021-01-08 00:05:00,6,True,True
is the to in the,2021-01-08 00:05:00,10,True,True
everyone and this,2021-01-08 00:05:00,9,True,True
is the to in the i am not to in the,2021-01-08 00:05:00,19,True,True
the of will go back to,2021-01-08 00:05:00,9,True,True
all of to your and be of the what can make i have mine and do so every to not to my is to out during the because there is a that will back to less then i will my during the only do with what ever you,2021-01-08 00:05:00,83,True,True
the has to say to i have made from the i from the than the i have been since,2021-01-08 00:05:00,33,True,True
still,2021-01-08 00:05:00,4,True,True
on,2021-01-08 00:05:00,5,True,True
you can over there but now,2021-01-08 00:05:00,12,True,True
still see on,2021-01-08 00:05:00,6,True,True
but this so in,2021-01-08 00:05:00,10,True,True
when to top they,2021-01-08 00:05:00,10,True,True
there is,2021-01-08 00:05:00,3,True,True
on than,2021-01-08 00:05:00,6,True,True
why are and,2021-01-08 00:05:00,13,True,True
please the now,2021-01-08 00:05:00,8,True,True
where can i get,2021-01-08 00:05:00,5,True,True
please can anyone me how to on please i in the,2021-01-08 00:05:00,17,True,True
is from to a this is you should all what the you are doing to the this once these and as a will a name for the of so with your,2021-01-08 00:05:00,64,True,True
please can anyone me how to on please i in the,2021-01-08 00:05:00,17,True,True
you can a to get,2021-01-08 00:05:00,9,True,True
i just now on the but my and me as well,2021-01-08 00:05:00,20,True,True
can someone me why i,2021-01-08 00:05:00,10,True,True
seems no in with the,2021-01-08 00:05:00,12,True,True
so we cannot,2021-01-08 00:05:00,6,True,True
why can some see the for and some,2021-01-08 00:05:00,13,True,True
i,2021-01-08 00:05:00,4,True,True
this is a that when go with in or out of on will not be to do anything,2021-01-08 00:05:00,28,True,True
what you about,2021-01-08 00:05:00,6,True,True
here we go again,2021-01-08 00:05:00,8,True,True
why we on the but i,2021-01-08 00:05:00,15,True,True
not,2021-01-08 00:05:00,4,True,True
why the has,2021-01-08 00:05:00,10,True,True
in you still,2021-01-08 00:05:00,8,True,True
where are to,2021-01-08 00:05:00,10,True,True
the,2021-01-08 00:05:00,5,True,True
their,2021-01-08 00:05:00,5,True,True
because of,2021-01-08 00:05:00,3,True,True
because of i is down,2021-01-08 00:05:00,9,True,True
you can on,2021-01-08 00:05:00,6,True,True
is on the,2021-01-08 00:05:00,7,True,True
were you to see the some for,2021-01-08 00:05:00,13,True,True
i,2021-01-08 00:05:00,7,True,True
how can the,2021-01-08 00:05:00,6,True,True
is the one who,2021-01-08 00:05:00,7,True,True
why is not for us,2021-01-08 00:05:00,10,True,True
i some,2021-01-08 00:05:00,4,True,True
can on i see there but,2021-01-08 00:05:00,14,True,True
is for me on my in us,2021-01-08 00:05:00,13,True,True
did you the,2021-01-08 00:05:00,8,True,True
i,2021-01-08 00:05:00,4,True,True
if you not now you can something,2021-01-08 00:05:00,11,True,True
i but i can see on the,2021-01-08 00:05:00,11,True,True
to,2021-01-08 00:05:00,5,True,True
is not,2021-01-08 00:05:00,4,True,True
please we,2021-01-08 00:05:00,4,True,True
i have a of and all over when me out of my own,2021-01-08 00:05:00,22,True,True
everyone is and,2021-01-08 00:05:00,7,True,True
any on,2021-01-08 00:05:00,6,True,True
why is my without any after,2021-01-08 00:05:00,10,True,True
and,2021-01-08 00:05:00,7,True,True
is because of,2021-01-08 00:05:00,7,True,True
we just to and we then we all get,2021-01-08 00:05:00,15,True,True
i have,2021-01-08 00:05:00,6,True,True
please the for an where you can and but we the themselves,2021-01-08 00:05:00,27,True,True
how do i on,2021-01-08 00:05:00,7,True,True
i get the i for what i at the,2021-01-08 00:05:00,14,True,True
i have in but i if i really that because the was at that,2021-01-08 00:05:00,24,True,True
what should i do if the for but not in my,2021-01-08 00:05:00,16,True,True
,2021-01-08 00:05:00,4,True,True
everyone for,2021-01-08 00:05:00,5,True,True
why i with,2021-01-08 00:05:00,9,True,True
me to or is this is if and i be,2021-01-08 00:05:00,28,True,True
how to on,2021-01-08 00:05:00,6,True,True
the,2021-01-08 00:05:00,6,True,True
the with the,2021-01-08 00:05:00,9,True,True
is to they can the,2021-01-08 00:05:00,14,True,True
to many at once the,2021-01-08 00:05:00,10,True,True
for the,2021-01-08 00:05:00,5,True,True
why are,2021-01-08 00:05:00,5,True,True
can i on the,2021-01-08 00:05:00,7,True,True
what is,2021-01-08 00:05:00,3,True,True
i am really nothing from,2021-01-08 00:05:00,11,True,True
everyone to,2021-01-08 00:05:00,5,True,True
no another are their on,2021-01-08 00:05:00,19,True,True
just on,2021-01-08 00:05:00,5,True,True
what does for,2021-01-08 00:05:00,7,True,True
,2021-01-08 00:05:00,4,True,True
i is just of to from when i i to the because i this could in,2021-01-08 00:05:00,37,True,True
the,2021-01-08 00:05:00,6,True,True
please how can in,2021-01-08 00:05:00,7,True,True
have,2021-01-08 00:05:00,3,True,True
why we this this is all over,2021-01-08 00:05:00,18,True,True
a the to is,2021-01-08 00:05:00,11,True,True
i to should this to with the last,2021-01-08 00:05:00,17,True,True
when will be to,2021-01-08 00:05:00,8,True,True
how,2021-01-08 00:05:00,4,True,True
well i even this is not a even my or anything to to,2021-01-08 00:05:00,29,True,True
so this is how they are the and of of all unless of to get in a the,2021-01-08 00:05:00,28,True,True
go,2021-01-08 00:05:00,4,True,True
many are to the at the same an for,2021-01-08 00:05:00,17,True,True
the,2021-01-08 00:05:00,4,True,True
not it is up,2021-01-08 00:05:00,9,True,True
all my for and,2021-01-08 00:05:00,9,True,True
when did we,2021-01-08 00:05:00,9,True,True
and i the,2021-01-08 00:05:00,10,True,True
has from to so during the of to be,2021-01-08 00:05:00,22,True,True
we we all to,2021-01-08 00:05:00,7,True,True
to another they us to in they to us the in,2021-01-08 00:05:00,24,True,True
you put the on and us because the not,2021-01-08 00:05:00,17,True,True
on,2021-01-08 00:05:00,6,True,True
more them one no any from and they my why where is our no my i or down with no any to before really this is not first i a because,2021-01-08 00:05:00,53,True,True
the of is we are,2021-01-08 00:05:00,10,True,True
everyone has they have their for and i am with is really now,2021-01-08 00:05:00,23,True,True
we just that is,2021-01-08 00:05:00,11,True,True
i to my,2021-01-08 00:05:00,6,True,True
is off of and,2021-01-08 00:05:00,12,True,True
i just had a of the has,2021-01-08 00:05:00,15,True,True
you have,2021-01-08 00:05:00,4,True,True
keep but i just used to,2021-01-08 00:05:00,16,True,True
can be on,2021-01-08 00:05:00,6,True,True
should be if could before the of which they to see and during keep your and have,2021-01-08 00:05:00,36,True,True
with,2021-01-08 00:05:00,4,True,True
why does has,2021-01-08 00:05:00,7,True,True
is the except is to what a,2021-01-08 00:05:00,22,True,True
